at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
YAKARİ,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/09-09-2025/ankara/8/sonuclar?kosu=141759&at=102050,1.38.19,4,WHIZBANG,1.37.16,"3,85",1600,Çim
LAVENDER,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/06-09-2025/istanbul/6/sonuclar?kosu=141763&at=91012,1.39.74,2,BEAUTY OF DARKNESS,1.39.53,"32,80",1600,Çim
SIDNEYS STAR,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/06-09-2025/istanbul/6/sonuclar?kosu=141763&at=91272,1.41.80,9,BEAUTY OF DARKNESS,1.39.53,"32,80",1600,Çim
MADAM ORACLE,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/28-08-2025/ankara/7/sonuclar?kosu=141763&at=90493,1.27.82,5,PRENSES SYLVESTER,1.26.53,"2,00",1400,Kum
BOSETTI,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/16-08-2025/ankara/6/sonuclar?kosu=141763&at=96721,1.37.55,11,GENERAL BRIELLA,1.36.24,"6,30",1600,Çim
STASERA,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/14-09-2025/istanbul/6/sonuclar?kosu=141763&at=95779,2.11.22,4,ASMAR DUBAI,2.10.31,"2,30",2100,Çim
GOLD FLOWER,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/31-08-2025/istanbul/6/sonuclar?kosu=141763&at=98121,2.31.49,9,GALİOĞLU,2.29.52,"16,20",2400,Çim
MITROS ON FIRE,,20250926,i̇stanbul,7,istanbul_atlari_20250926.json,https://yenibeygir.com/20-08-2025/istanbul/7/sonuclar?kosu=141763&at=96146,1.11.22,5,MASSAVA,1.10.45,"3,10",1200,Çim
AGATHA,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/29-08-2025/istanbul/7/sonuclar?kosu=141760&at=102937,1.23.64,1,AGATHA,1.23.64,"17,40",1400,Çim
DEJAME,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/09-09-2025/ankara/8/sonuclar?kosu=141760&at=102252,1.38.47,5,WHIZBANG,1.37.16,"3,85",1600,Çim
GRACE OF GOD,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/07-09-2025/istanbul/9/sonuclar?kosu=141760&at=101435,1.27.17,2,BRANDO,1.27.09,"19,20",1400,Çim
NAZUŞUM,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/13-09-2025/izmir/7/sonuclar?kosu=141760&at=103118,1.19.60,8,EXTENSIVE,1.11.38,"3,85",1200,Çim
PIHA,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/31-08-2025/istanbul/3/sonuclar?kosu=141760&at=102224,1.11.33,1,PIHA,1.11.33,"3,25",1200,Çim
PRENSES YAZ,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/29-08-2025/istanbul/7/sonuclar?kosu=141760&at=101959,1.24.13,3,AGATHA,1.23.64,"17,40",1400,Çim
TRAİDORA,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/6/sonuclar?kosu=141760&at=102254,1.38.54,7,MUCHO BUENO,1.37.23,"2,25",1600,Çim
VICTORY LANE,,20250926,i̇stanbul,8,istanbul_atlari_20250926.json,https://yenibeygir.com/03-09-2025/istanbul/1/sonuclar?kosu=141760&at=102158,1.18.86,1,VICTORY LANE,1.18.86,"1,35",1300,Kum
ABUZER BABA,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/6/sonuclar?kosu=141857&at=101242,1.29.00,4,SEVDA ŞAMPİYONU,1.27.63,"10,10",1300,Kum
DELİ ŞİMŞEK,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/31-08-2025/istanbul/8/sonuclar?kosu=141857&at=103783,1.23.81,4,SERGÖKÇE,1.19.01,"2,10",1200,Çim
EL FAMİLİA,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/9/sonuclar?kosu=141857&at=103929,1.38.15,9,LOSTRA,1.32.91,"3,70",1400,Çim
ERİŞMİŞ,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/5/sonuclar?kosu=141857&at=101224,1.35.47,2,ÇETİNBAŞ,1.34.22,"4,35",1400,Çim
HARPUT MUHAFIZI,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/2/sonuclar?kosu=141857&at=103155,1.40.67,5,ZOR ODİN,1.39.87,"5,35",1500,Çim
THOTH,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/27-08-2025/istanbul/6/sonuclar?kosu=141857&at=103943,1.29.27,2,BAY UMUT,1.28.89,"5,70",1300,Çim
UDARHAN,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/9/sonuclar?kosu=141857&at=102681,1.34.79,4,LOSTRA,1.32.91,"3,70",1400,Çim
YEDİNCİHİS,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/8/sonuclar?kosu=141857&at=101769,1.47.84,11,GÜMBÜR ŞAH,1.38.12,"4,20",1400,Kum
MEVHİDE HANIM,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/5/sonuclar?kosu=141857&at=101991,1.36.41,8,ÇETİNBAŞ,1.34.22,"4,35",1400,Çim
AVRENLİ,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/8/sonuclar?kosu=141857&at=102512,1.45.92,9,GÜMBÜR ŞAH,1.38.12,"4,20",1400,Kum
ÇİĞDEMİN DENİZİ,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/10/sonuclar?kosu=141857&at=101988,1.28.38,5,AYTEKİNBEY,1.27.38,"2,00",1300,Kum
GÜLLÜ TAY,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/17-09-2025/istanbul/9/sonuclar?kosu=141857&at=102999,1.21.64,2,THORADA,1.21.29,"14,65",1200,Çim
SEBİLE HANIM,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/10/sonuclar?kosu=141857&at=102338,1.32.49,11,AYTEKİNBEY,1.27.38,"2,00",1300,Kum
TULPARIM,,20250926,i̇stanbul,9,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/10/sonuclar?kosu=141857&at=103468,1.28.03,4,AYTEKİNBEY,1.27.38,"2,00",1300,Kum
