Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
6,DILUVIO,/at/102491/diluvio,Müs.Çelik,57,1400,Çim,1.27.81,57,1400,Çim,İstanbul,İstanbul
6,EL GLADIADOR,/at/101418/el-gladiador,Ö.Yıldırım,57,1400,Çim,1.27.32,57,1400,Çim,İstanbul,İstanbul
6,METAL HEART,/at/101874/metal-heart,M.S.Çelik,57,1300,Çim,1.17.47,57,1400,Çim,İstanbul,Ankara
6,NALÇAKAN HAN,/at/101927/nalcakan-han,Ahmet Çelik,57,1400,Çim,1.24.44,54.2,1400,Çim,İstanbul,Ankara
6,UPAMECANO,/at/103040/upamecano,G.Kocakaya,57,1400,Çim,1.23.55,54.6,1400,Çim,İstanbul,Ankara
6,YAKARİ,/at/102050/yakari,A.Kurşun,57,1600,Çim,1.38.19,56,1400,Çim,İstanbul,Ankara
7,LAVENDER,/at/91012/lavender,H.Karataş,61,1600,Çim,1.39.74,60,1400,Sentetik,İstanbul,İstanbul
7,SIDNEYS STAR,/at/91272/sidneys-star,Ö.Yıldırım,60,1600,Çim,1.41.80,60,1400,Sentetik,İstanbul,İstanbul
7,MADAM ORACLE,/at/90493/madam-oracle,Ahmet Çelik,59.5,1400,Kum,1.27.82,61,1400,Sentetik,İstanbul,Ankara
7,BOSETTI,/at/96721/bosetti,G.Kocakaya,55.5,1600,Çim,1.37.55,60,1400,Sentetik,İstanbul,Ankara
7,STASERA,/at/95779/stasera,A.Yıldız,55,2100,Çim,2.11.22,56,1400,Sentetik,İstanbul,İstanbul
7,GOLD FLOWER,/at/98121/gold-flower,Müs.Çelik,52,2400,Çim,2.31.49,56,1400,Sentetik,İstanbul,İstanbul
7,MITROS ON FIRE,/at/96146/mitros-on-fire,A.Kaçmaz,52.5,1200,Çim,1.11.22,60,1400,Sentetik,İstanbul,İstanbul
8,AGATHA,/at/102937/agatha,A.Yıldız,57,1400,Çim,1.23.64,57,1400,Çim,İstanbul,İstanbul
8,DEJAME,/at/102252/dejame,Müs.Çelik,57,1600,Çim,1.38.47,58.1,1400,Çim,İstanbul,Ankara
8,GRACE OF GOD,/at/101435/grace-of-god,Ö.Yıldırım,57,1400,Çim,1.27.17,55,1400,Çim,İstanbul,İstanbul
8,NAZUŞUM,/at/103118/nazusum,A.Kaçmaz,57,1200,Çim,1.19.60,55,1400,Çim,İstanbul,İzmir
8,PIHA,/at/102224/piha,M.Akyavuz,57,1200,Çim,1.11.33,56.8,1400,Çim,İstanbul,İstanbul
8,PRENSES YAZ,/at/101959/prenses-yaz,A.Kurşun,57,1400,Çim,1.24.13,57,1400,Çim,İstanbul,İstanbul
8,TRAİDORA,/at/102254/traidora,A.Sözen,57,1600,Çim,1.38.54,55.4,1400,Çim,İstanbul,İstanbul
8,VICTORY LANE,/at/102158/victory-lane,Ahmet Çelik,57,1300,Sentetik,1.18.86,56.5,1400,Çim,İstanbul,İstanbul
9,ABUZER BABA,/at/101242/abuzer-baba,A.Kurşun,57,1300,Sentetik,1.29.00,57,1600,Çim,İstanbul,İstanbul
9,DELİ ŞİMŞEK,/at/103783/deli-simsek,A.Aslan,57,1200,Çim,1.23.81,57,1600,Çim,İstanbul,İstanbul
9,EL FAMİLİA,/at/103929/el-familia,E.Bozdağ,54,1400,Çim,1.38.15,57,1600,Çim,İstanbul,İstanbul
9,ERİŞMİŞ,/at/101224/erismis,M.Akyavuz,57,1400,Çim,1.35.47,57,1600,Çim,İstanbul,İstanbul
9,HARPUT MUHAFIZI,/at/103155/harput-muhafizi,Ahmet Çelik,57,1500,Çim,1.40.67,57.3,1600,Çim,İstanbul,Bursa
9,THOTH,/at/103943/thoth,A.Yıldız,57,1300,Çim,1.29.27,57,1600,Çim,İstanbul,İstanbul
9,UDARHAN,/at/102681/udarhan,V.Abiş,57,1400,Çim,1.34.79,57,1600,Çim,İstanbul,İstanbul
9,YEDİNCİHİS,/at/101769/yedincihis,Hakan Yıldız,57,1400,Kum,1.47.84,55,1600,Çim,İstanbul,Kocaeli
9,MEVHİDE HANIM,/at/101991/mevhide-hanim,U.Levent,55,1400,Çim,1.36.41,53.9,1600,Çim,İstanbul,İstanbul
9,AVRENLİ,/at/102512/avrenli,A.Sözen,55,1400,Kum,1.45.92,57,1600,Çim,İstanbul,Kocaeli
9,ÇİĞDEMİN DENİZİ,/at/101988/cigdemin-denizi,E.Aktuğ,55,1300,Sentetik,1.28.38,52.3,1600,Çim,İstanbul,İstanbul
9,GÜLLÜ TAY,/at/102999/gullu-tay,Müs.Çelik,55,1200,Çim,1.21.64,57,1600,Çim,İstanbul,İstanbul
9,SEBİLE HANIM,/at/102338/sebile-hanim,Y.Ş.Gümüş,51,1300,Sentetik,1.32.49,55.2,1600,Çim,İstanbul,İstanbul
9,TULPARIM,/at/103468/tulparim,H.Karataş,55,1300,Sentetik,1.28.03,55.3,1600,Çim,İstanbul,İstanbul
