at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
DOĞU ASLANI,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/17-09-2025/istanbul/2/sonuclar?kosu=141771&at=100414,2.35.80,11,KRİPTO,2.12.61,"2,50",2100,Kum
ŞANLI ANKA,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/5/sonuclar?kosu=141775&at=97182,2.24.70,1,ŞANLI ANKA,2.24.70,"9,95",2000,Kum
ÇİMENGÖZ,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/19-09-2025/bursa/9/sonuclar?kosu=141775&at=98437,1.20.27,9,KIRGINIM,1.18.30,"2,10",1200,Çim
GÜÇLÜ KRAL,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/5/sonuclar?kosu=141775&at=100213,2.25.34,3,ŞANLI ANKA,2.24.70,"9,95",2000,Kum
MUHLİSHAN,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/05-09-2025/bursa/9/sonuclar?kosu=141775&at=95717,1.38.96,4,ERDALIN OĞLU,1.38.27,"4,05",1400,Kum
YETİM İBRAHİM,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/5/sonuclar?kosu=141775&at=97686,2.11.68,2,DAMLA SUYU,2.10.88,"5,80",1800,Kum
ASUMAN HANIM,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/05-09-2025/izmir/6/sonuclar?kosu=141775&at=93229,2.19.10,5,PONÇİKTAY,2.17.86,"7,25",2000,Çim
BERTUĞHAN,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/2/sonuclar?kosu=141775&at=97663,1.37.88,6,ŞAHSEKİN,1.36.26,"5,45",1400,Kum
BİBAŞAH,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/5/sonuclar?kosu=141775&at=97361,2.11.82,3,DAMLA SUYU,2.10.88,"5,80",1800,Kum
BAĞNI ÇİÇEK,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/21-09-2025/istanbul/2/sonuclar?kosu=141775&at=99163,2.15.37,4,BAYAN ALTIN,2.14.69,"1,40",1900,Çim
CÜREKLİ AKTABAN,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/19-09-2025/bursa/9/sonuclar?kosu=141775&at=97542,1.19.79,7,KIRGINIM,1.18.30,"2,10",1200,Çim
HIZLI BAKIŞ,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/22-09-2025/bursa/3/sonuclar?kosu=141775&at=99443,2.38.90,9,SURERTAY,2.31.53,"1,90",2200,Çim
BİTİRİM PRENSES,,20250926,bursa,5,bursa_atlari_20250926.json,https://yenibeygir.com/07-07-2025/bursa/2/sonuclar?kosu=141775&at=93996,2.29.92,5,ERGEN,2.26.63,"5,15",2000,Kum
QUANTUM OF SOLACE,,20250926,bursa,6,bursa_atlari_20250926.json,https://yenibeygir.com/04-09-2025/izmir/8/sonuclar?kosu=141768&at=98627,2.02.11,2,HIGH WAY KING,2.01.97,"2,80",1900,Kum
BRUSK SHOT,,20250926,bursa,6,bursa_atlari_20250926.json,https://yenibeygir.com/22-08-2025/bursa/2/sonuclar?kosu=141768&at=98562,2.06.32,4,CALEDONIE,2.05.79,"4,60",2000,Çim
