Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
9,CANOĞLUCAN,/at/87867/canoglucan,Murat Keçeci,62.5,1200,Kum,1.23.05,57,1400,Kum,Bursa,İzmir
9,HIZLI EMEL,/at/92225/hizli-emel,Y.Gökçe,62.5,1400,Kum,1.36.42,57.5,1400,Kum,Bursa,Kocaeli
9,KILIÇ OSMAN,/at/89767/kilic-osman,E.Üstün,62.5,1300,Kum,1.32.43,52.1,1400,Kum,Bursa,Bursa
9,SALUKİ,/at/86068/saluki,S.Çelik,62.5,1400,Kum,1.38.04,59.5,1400,Kum,Bursa,Kocaeli
9,ŞAHSEKİN,/at/86444/sahsekin,S.Gülenyüzler,62.5,1400,Kum,1.36.26,59.5,1400,Kum,Bursa,Kocaeli
9,MUCİT TAY,/at/90828/mucit-tay,E.Akpınar,59.5,1500,Kum,1.50.66,57.2,1400,Kum,Bursa,Ankara
9,ERDALIN OĞLU,/at/97365/erdalin-oglu,M.Bağ,58,1200,Çim,1.18.92,57,1400,Kum,Bursa,Bursa
9,ŞEHNAZ LONGA,/at/94013/sehnaz-longa,Ha.Gökçe,57.5,1500,Çim,1.40.86,53,1400,Kum,Bursa,Bursa
9,İLCİN HATUN,/at/96300/ilcin-hatun,H.Turan,57.5,1400,Kum,1.38.82,55.5,1400,Kum,Bursa,Bursa
9,KARAVAŞ,/at/76012/karavas,İ.Gün,54.5,1300,Kum,1.42.82,52,1400,Kum,Bursa,Bursa
9,KRAL HAKAN,/at/93662/kral-hakan,A.E.Elmas,56.5,1400,Kum,1.44.87,52,1400,Kum,Bursa,Bursa
9,BİLGE HÜMA,/at/101025/bilge-huma,H.Şanlı,53,2000,Kum,2.38.73,51.5,1400,Kum,Bursa,İzmir
